id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
3,HFAPA-on-REFPA,10.1016/j.memsci.2013.02.044,Enhanced desalination performance of polyamide bi-layer membranes prepared by sequential interfacial polymerization,2013,Hye La,Polymeric TFC,,Polyamide,,Synthesis: monomers;Post-treatment: surface,,XPS;TEM;AFM,No,2.69,0.1028,26.13482,99.8,99.7,Cross-flow,27.6,0.03422,7.73e-7,2.2e-11,1.51,CP calculated assuming kf = 100,1.51,,76,140,35136.36363636364
4,REFPA,10.1016/j.memsci.2013.02.044,Enhanced desalination performance of polyamide bi-layer membranes prepared by sequential interfacial polymerization,2013,Hye La,Polymeric TFC,,Polyamide,,No modification,,XPS;TEM;AFM,No,2.93,0.2113,13.8559,99.71,99.4,Cross-flow,27.6,0.03422,8.21e-7,4.3e-11,1.51,CP calculated assuming kf = 100,2.05,,74,78,
5,DCWTT-Unmodified,10.1016/j.seppur.2008.12.021,Surface modification of thin film composite polyamide membranes by electrostatic self deposition of polycations for improved fouling resistance,2009,Zhou,Polymeric TFC,,Polyamide,,No modification,,,No,2.99,5.3134,0.56347,81.72,77.9,Not available,8,0.00154,,,0.056,CP calculated assuming kf = 100,1.27,,,58,
6,DCWTT-modified,10.1016/j.seppur.2008.12.021,Surface modification of thin film composite polyamide membranes by electrostatic self deposition of polycations for improved fouling resistance,2009,Zhou,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.89,2.7957,0.67617,84.29,82.2,Not available,8,0.00154,,,0.056,CP calculated assuming kf = 100,1.16,,,34,
7,Example7,U.S. Patent No. 4067804,Solute-separating membrane,1978,Sekiguchi,Other,Free standing polymer,Other,polyoxadiazole,Synthesis: monomers,,,No,0.22,1.744,0.12842,90.53,89,Not available,78.45,0.08556,,,3.4023,CP calculated assuming kf = 100,1.18,,,,
9,Virgin before fouling,10.1016/j.memsci.2013.02.010,A novel reverse osmosis membrane with regenerable anti-biofouling and chlorine resistant properties,2013,Xu,Polymeric TFC,,Polyamide,,No modification,,FTIR;SEM;Zeta potential,No,10.33,0.7792,13.3,99.34,97.9,Cross-flow,15.5,0.03,,,1.3,CP calculated assuming kf = 100,3.22,,31,44,,17.34
10,IU-modified before fouling,10.1016/j.memsci.2013.02.010,A novel reverse osmosis membrane with regenerable anti-biofouling and chlorine resistant properties,2013,Xu,Polymeric TFC,,Polyamide,,Post-treatment: surface,,FTIR;SEM;Zeta potential,No,5.54,1.4189,3.9,98.05,96.1,Cross-flow,15.5,0.03,,,1.28,CP calculated assuming kf = 100,2.04,,32,23,,17.34
11,TiO2 Hybrid LP,10.1016/S0376-7388(02)00418-0,Design of TiO2 nanoparticle self-assembled aromatic polyamide thin-film-composite (TFC) membrane as an approach to solve biofouling problem,2003,Kim,TFN / Hybrid,,Polyamide;Other,Titanium dioxide,Post-treatment: surface,,TEM;XPS,No,11.88,1.4797,8,98.87,96,Cross-flow,15.5,0.03,,,1.28,CP calculated assuming kf = 100,3.63,,,,,
12,Example 1,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Synthesis: solvent,,,No,0.31,0.03,10.333333333333334,99.84,99.8,Not available,103.4,0.6,,,28.26,CP calculated assuming kf = 100,1.23,,,,,
13,Example 6,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,3.28,0.11,29.818181818181817,99.74,99.61,Not available,14.71,0.03,,,1.15,CP calculated assuming kf = 100,1.53,,,,,
